iter	Passed	Remaining
0	47	238920
1	92	231048
2	142	237075
3	187	233815
4	230	229942
5	270	225129
6	310	221238
7	346	216298
8	383	212927
9	421	210508
10	459	208181
11	500	207971
12	544	208847
13	587	209095
14	626	208220
15	668	208096
16	709	207984
17	746	206586
18	782	205173
19	819	203994
20	865	205174
21	909	205840
22	952	206169
23	991	205521
24	1029	204866
25	1066	203943
26	1103	203208
27	1138	202241
28	1176	201616
29	1212	200834
30	1251	200659
31	1291	200444
32	1333	200721
33	1376	201025
34	1419	201352
35	1461	201537
36	1501	201390
37	1524	199125
38	1559	198398
39	1595	197846
40	1632	197425
41	1667	196806
42	1701	196152
43	1739	195949
44	1787	196856
45	1825	196645
46	1868	196901
47	1905	196608
48	1941	196160
49	1975	195570
50	2012	195320
51	2047	194812
52	2083	194438
53	2118	194013
54	2153	193620
55	2191	193512
56	2228	193260
57	2264	192944
58	2305	193039
59	2342	192874
60	2393	193790
61	2428	193394
62	2462	193004
63	2499	192776
64	2534	192415
65	2569	192076
66	2608	192091
67	2643	191731
68	2679	191507
69	2717	191371
70	2756	191358
71	2797	191487
72	2836	191439
73	2882	191862
74	2927	192209
75	2967	192285
76	3005	192160
77	3042	191994
78	3082	192022
79	3124	192136
80	3163	192115
81	3202	192063
82	3245	192287
83	3283	192150
84	3324	192234
85	3361	192086
86	3397	191887
87	3432	191571
88	3469	191457
89	3504	191190
90	3539	190959
91	3578	190881
92	3612	190629
93	3647	190374
94	3685	190294
95	3722	190176
96	3756	189858
97	3789	189535
98	3822	189232
99	3861	189227
100	3902	189270
101	3955	189958
102	3989	189690
103	4023	189419
104	4060	189292
105	4095	189097
106	4130	188863
107	4170	188899
108	4212	189004
109	4254	189149
110	4298	189316
111	4339	189370
112	4379	189394
113	4420	189455
114	4459	189440
115	4500	189489
116	4536	189325
117	4571	189133
118	4605	188904
119	4644	188868
120	4710	189957
121	4750	189951
122	4784	189713
123	4818	189492
124	4854	189332
125	4889	189143
126	4927	189065
127	4969	189146
128	5013	189324
129	5052	189274
130	5097	189456
131	5142	189654
132	5189	189901
133	5241	190350
134	5287	190546
135	5330	190658
136	5399	191669
137	5501	193814
138	5523	193168
139	5554	192836
140	5586	192507
141	5617	192180
142	5649	191901
143	5685	191715
144	5720	191546
145	5755	191355
146	5790	191169
147	5826	190999
148	5861	190837
149	5895	190629
150	5938	190684
151	5971	190473
152	6004	190227
153	6038	190026
154	6083	190150
155	6126	190221
156	6171	190385
157	6214	190450
158	6258	190535
159	6294	190416
160	6332	190336
161	6368	190178
162	6402	189979
163	6435	189769
164	6468	189550
165	6504	189409
166	6537	189187
167	6570	188971
168	6604	188788
169	6637	188581
170	6670	188378
171	6705	188216
172	6740	188064
173	6772	187826
174	6804	187614
175	6845	187618
176	6881	187499
177	6916	187358
178	6959	187446
179	6992	187243
180	7025	187061
181	7058	186867
182	7092	186680
183	7122	186431
184	7159	186347
185	7191	186139
186	7225	185960
187	7260	185835
188	7292	185640
189	7327	185506
190	7361	185358
191	7395	185186
192	7428	185016
193	7459	184795
194	7491	184590
195	7523	184399
196	7557	184255
197	7590	184098
198	7625	183969
199	7658	183793
200	7690	183618
201	7727	183545
202	7759	183366
203	7791	183180
204	7823	182997
205	7856	182826
206	7889	182670
207	7925	182587
208	7969	182681
209	8030	183164
210	8060	182956
211	8094	182805
212	8126	182630
213	8157	182444
214	8189	182263
215	8222	182105
216	8254	181945
217	8287	181799
218	8321	181665
219	8355	181541
220	8390	181437
221	8421	181259
222	8455	181133
223	8487	180972
224	8517	180770
225	8549	180598
226	8586	180550
227	8619	180401
228	8652	180268
229	8685	180133
230	8724	180113
231	8760	180033
232	8792	179892
233	8824	179729
234	8858	179618
235	8891	179488
236	8923	179342
237	8956	179211
238	9000	179285
239	9031	179125
240	9063	178976
241	9097	178863
242	9130	178743
243	9167	178685
244	9199	178551
245	9235	178480
246	9267	178327
247	9300	178200
248	9334	178098
249	9368	177992
250	9401	177886
251	9433	177735
252	9464	177589
253	9500	177512
254	9533	177398
255	9565	177259
256	9597	177117
257	9628	176977
258	9662	176871
259	9696	176779
260	9730	176683
261	9762	176552
262	9794	176417
263	9826	176284
264	9860	176193
265	9893	176071
266	9926	175957
267	9959	175844
268	9990	175714
269	10038	175859
270	10069	175707
271	10100	175563
272	10131	175431
273	10162	175289
274	10194	175165
275	10229	175083
276	10260	174946
277	10292	174828
278	10323	174692
279	10354	174551
280	10385	174413
281	10414	174239
282	10446	174115
283	10477	173979
284	10508	173859
285	10541	173749
286	10576	173683
287	10607	173552
288	10639	173427
289	10670	173305
290	10703	173206
291	10737	173130
292	10769	173013
293	10802	172906
294	10834	172799
295	10868	172719
296	10900	172607
297	10934	172530
298	10966	172419
299	10997	172301
300	11044	172420
301	11074	172280
302	11106	172169
303	11139	172071
304	11176	172042
305	11212	171992
306	11245	171899
307	11280	171848
308	11318	171836
309	11356	171806
310	11391	171751
311	11426	171692
312	11462	171641
313	11500	171629
314	11535	171568
315	11572	171537
316	11609	171504
317	11644	171449
318	11680	171405
319	11718	171388
320	11751	171295
321	11784	171198
322	11815	171085
323	11846	170965
324	11879	170887
325	11911	170785
326	11945	170704
327	11978	170615
328	12010	170526
329	12061	170684
330	12094	170608
331	12128	170527
332	12159	170419
333	12190	170299
334	12223	170218
335	12255	170114
336	12287	170019
337	12320	169929
338	12353	169855
339	12385	169753
340	12437	169933
341	12472	169878
342	12504	169776
343	12538	169707
344	12570	169616
345	12603	169532
346	12635	169425
347	12667	169338
348	12701	169267
349	12735	169199
350	12764	169061
351	12794	168942
352	12827	168864
353	12858	168760
354	12890	168670
355	12922	168573
356	12953	168468
357	12984	168368
358	13015	168260
359	13062	168355
360	13098	168322
361	13131	168239
362	13166	168185
363	13201	168143
364	13237	168099
365	13269	168001
366	13303	167945
367	13339	167898
368	13371	167813
369	13404	167731
370	13436	167652
371	13469	167571
372	13500	167477
373	13538	167461
374	13574	167424
375	13603	167295
376	13637	167229
377	13671	167164
378	13705	167103
379	13738	167030
380	13768	166926
381	13790	166711
382	13824	166646
383	13852	166517
384	13881	166394
385	13914	166327
386	13944	166218
387	13976	166132
388	14008	166054
389	14040	165971
390	14089	166078
391	14120	165991
392	14159	165981
393	14191	165904
394	14233	165933
395	14275	165968
396	14315	165978
397	14353	165961
398	14389	165929
399	14422	165857
400	14454	165773
401	14490	165738
402	14522	165655
403	14553	165559
404	14585	165476
405	14616	165387
406	14671	165564
407	14711	165575
408	14744	165502
409	14776	165429
410	14807	165332
411	14839	165247
412	14871	165167
413	14902	165076
414	14932	164979
415	14963	164888
416	14994	164791
417	15025	164702
418	15056	164619
419	15111	164786
420	15155	164843
